job_number,loge,emin,emax,crab_flux,photon_flux,energy_flux,sensitivity,regcoeff,nevents,npred,duration,output_file,log_file
0,-0.2614393726401687,0.030000000000000013,10.0,2.0847096531813047,7.2727692957918254e-09,1.6971145330675464e-09,2.8807765426918417e-10,0.9954104444075323,23.0,22.97905585733062,1.0,/astri01/data1/gershon/ctools_patricelli/notebooks/outputs/sensi-5.0sigma_obstime-1.0_irf-North_0.5h.txt,/astri01/data1/gershon/ctools_patricelli/notebooks/logs/sensi-5.0sigma_obstime-1.0_irf-North_0.5h.log
1,-0.2614393726401687,0.030000000000000013,10.0,0.8990846954252172,3.1365689496503658e-09,7.319243237235797e-10,1.242409031167349e-10,0.9773801382802166,30.0,29.998423116834413,2.0,/astri01/data1/gershon/ctools_patricelli/notebooks/outputs/sensi-5.0sigma_obstime-2.0_irf-North_0.5h.txt,/astri01/data1/gershon/ctools_patricelli/notebooks/logs/sensi-5.0sigma_obstime-2.0_irf-North_0.5h.log
2,-0.2614393726401687,0.030000000000000013,10.0,0.6628497748594628,2.312434003921778e-09,5.396108683230198e-10,9.159654822098335e-11,0.9319738338176056,62.0,61.982471173773185,3.0,/astri01/data1/gershon/ctools_patricelli/notebooks/outputs/sensi-5.0sigma_obstime-3.0_irf-North_0.5h.txt,/astri01/data1/gershon/ctools_patricelli/notebooks/logs/sensi-5.0sigma_obstime-3.0_irf-North_0.5h.log
3,-0.2614393726401687,0.030000000000000013,10.0,0.5297611637206311,1.848137806495433e-09,4.3126646851424537e-10,7.320556756412741e-11,0.735037181401956,65.0,64.9999652239144,4.0,/astri01/data1/gershon/ctools_patricelli/notebooks/outputs/sensi-5.0sigma_obstime-4.0_irf-North_0.5h.txt,/astri01/data1/gershon/ctools_patricelli/notebooks/logs/sensi-5.0sigma_obstime-4.0_irf-North_0.5h.log
